user_id,churn,recency_days,frequency,monetary,r_score,f_score,m_score,segment,rfm_score
USR00323,0,24.0,16,13489.37,4,3,3,Loyal,10
USR00324,0,12.0,19,32859.74,4,3,3,Loyal,10
USR00325,0,27.0,10,13351.07,4,3,3,Loyal,10
USR00326,0,17.0,18,17715.6,4,3,3,Loyal,10
USR00327,0,6.0,14,11376.17,4,3,3,Loyal,10
USR00328,0,27.0,18,20399.11,4,3,3,Loyal,10
USR00329,1,111.0,7,4811.81,2,2,2,At Risk,6
USR00330,1,57.0,9,4791.87,3,2,2,Promising,7
USR00331,0,31.0,10,15101.44,3,3,3,Loyal,9
USR00332,0,32.0,13,21897.73,3,3,3,Loyal,9
USR00333,0,31.0,17,18155.44,3,3,3,Loyal,9
USR00334,0,4.0,14,22206.87,4,3,3,Loyal,10
USR00335,0,14.0,15,16297.52,4,3,3,Loyal,10
USR00336,0,12.0,14,21542.54,4,3,3,Loyal,10
USR00337,0,25.0,16,20037.67,4,3,3,Loyal,10
USR00338,0,42.0,13,12748.45,3,3,3,Loyal,9
USR00339,0,49.0,14,10264.44,3,3,3,Loyal,9
USR00340,0,13.0,16,22053.31,4,3,3,Loyal,10
USR00341,1,65.0,4,2490.84,3,2,2,Promising,7
USR00342,0,9.0,13,18993.94,4,3,3,Loyal,10
USR00343,0,15.0,14,22729.84,4,3,3,Loyal,10
USR00344,1,89.0,6,3512.62,3,2,2,Promising,7
USR00345,0,31.0,15,20284.05,3,3,3,Loyal,9
USR00346,0,5.0,15,16396.31,4,3,3,Loyal,10
USR00347,0,17.0,21,36670.54,4,4,3,Champion,11
USR00348,0,11.0,12,14081.31,4,3,3,Loyal,10
USR00349,0,15.0,11,9540.22,4,3,2,Loyal,9
USR00350,1,88.0,7,4939.36,3,2,2,Promising,7
USR00351,0,27.0,14,12879.38,4,3,3,Loyal,10
USR00352,0,13.0,17,15187.42,4,3,3,Loyal,10
USR00353,0,11.0,14,20690.21,4,3,3,Loyal,10
USR00354,0,36.0,15,23563.19,3,3,3,Loyal,9
USR00355,0,9.0,15,26499.19,4,3,3,Loyal,10
USR00356,0,20.0,10,6828.16,4,3,2,Loyal,9
USR00357,0,23.0,14,13520.93,4,3,3,Loyal,10
USR00358,0,10.0,24,41954.24,4,4,3,Champion,11
USR00359,0,36.0,9,8159.45,3,2,2,Promising,7
USR00360,0,33.0,13,10225.16,3,3,3,Loyal,9
USR00361,0,26.0,12,19375.5,4,3,3,Loyal,10
USR00362,0,49.0,18,23372.66,3,3,3,Loyal,9
USR00363,0,39.0,6,3441.49,3,2,2,Promising,7
USR00364,0,29.0,11,22124.03,4,3,3,Loyal,10
USR00365,0,15.0,11,14725.17,4,3,3,Loyal,10
USR00366,0,12.0,16,13683.84,4,3,3,Loyal,10
USR00367,0,16.0,25,29216.26,4,4,3,Champion,11
USR00368,0,22.0,15,15313.1,4,3,3,Loyal,10
USR00369,0,27.0,13,7850.96,4,3,2,Loyal,9
USR00370,0,41.0,15,15974.33,3,3,3,Loyal,9
USR00371,0,30.0,14,16485.9,4,3,3,Loyal,10
USR00372,0,35.0,16,22340.16,3,3,3,Loyal,9
USR00373,0,10.0,10,14611.54,4,3,3,Loyal,10
USR00374,0,86.0,17,28772.06,3,3,3,Loyal,9
USR00375,0,23.0,12,8602.89,4,3,2,Loyal,9
USR00376,0,21.0,11,9031.76,4,3,2,Loyal,9
USR00377,0,54.0,10,12771.85,3,3,3,Loyal,9
USR00378,0,12.0,9,12778.18,4,2,3,Loyal,9
USR00379,0,38.0,3,5514.12,3,2,2,Promising,7
USR00380,0,27.0,13,8142.77,4,3,2,Loyal,9
USR00381,0,42.0,10,11476.6,3,3,3,Loyal,9
USR00382,0,43.0,17,17814.9,3,3,3,Loyal,9
USR00383,0,15.0,16,24056.19,4,3,3,Loyal,10
USR00384,0,23.0,11,9369.7,4,3,2,Loyal,9
USR00385,0,7.0,8,20175.86,4,2,3,Loyal,9
USR00386,0,32.0,6,9476.37,3,2,2,Promising,7
USR00387,1,143.0,7,4401.27,2,2,2,At Risk,6
USR00388,0,15.0,15,19932.72,4,3,3,Loyal,10
USR00389,0,47.0,9,8011.26,3,2,2,Promising,7
USR00390,0,42.0,16,24125.79,3,3,3,Loyal,9
USR00391,0,21.0,25,27574.48,4,4,3,Champion,11
USR00392,0,12.0,12,16051.35,4,3,3,Loyal,10
USR00393,0,52.0,13,13994.59,3,3,3,Loyal,9
USR00394,0,37.0,11,6739.47,3,3,2,Promising,8
USR00395,0,22.0,15,18426.72,4,3,3,Loyal,10
USR00396,0,59.0,12,10823.9,3,3,3,Loyal,9
USR00397,0,12.0,15,14103.85,4,3,3,Loyal,10
USR00398,0,22.0,16,17309.78,4,3,3,Loyal,10
USR00399,0,31.0,9,12761.83,3,2,3,Promising,8
USR00400,0,30.0,11,13717.3,4,3,3,Loyal,10
USR00401,0,41.0,13,16129.4,3,3,3,Loyal,9
USR00402,0,10.0,8,8596.89,4,2,2,Promising,8
USR00403,0,4.0,11,8854.94,4,3,2,Loyal,9
USR00404,0,21.0,19,25643.43,4,3,3,Loyal,10
USR00405,0,21.0,10,7416.87,4,3,2,Loyal,9
USR00406,0,47.0,18,19553.96,3,3,3,Loyal,9
USR00407,1,34.0,8,2995.59,3,2,2,Promising,7
USR00408,0,40.0,18,17558.51,3,3,3,Loyal,9
USR00409,0,33.0,13,18957.76,3,3,3,Loyal,9
USR00410,0,15.0,17,25646.42,4,3,3,Loyal,10
USR00411,0,43.0,14,26401.09,3,3,3,Loyal,9
USR00412,0,42.0,12,16750.0,3,3,3,Loyal,9
USR00413,0,20.0,13,14388.46,4,3,3,Loyal,10
USR00414,0,28.0,15,20188.55,4,3,3,Loyal,10
USR00415,0,19.0,14,15877.65,4,3,3,Loyal,10
USR00416,0,72.0,10,9536.77,3,3,2,Promising,8
USR00417,0,16.0,11,9186.51,4,3,2,Loyal,9
USR00418,0,16.0,26,29157.77,4,4,3,Champion,11
USR00419,0,47.0,6,6113.71,3,2,2,Promising,7
USR00420,0,16.0,17,20373.45,4,3,3,Loyal,10
USR00421,0,10.0,14,17271.98,4,3,3,Loyal,10
USR00422,1,75.0,9,6389.86,3,2,2,Promising,7
USR00423,0,14.0,12,15229.29,4,3,3,Loyal,10
USR00424,0,29.0,14,8995.36,4,3,2,Loyal,9
USR00425,0,54.0,9,8737.08,3,2,2,Promising,7
USR00426,0,72.0,20,27319.8,3,4,3,Loyal,10
USR00427,0,32.0,12,11719.44,3,3,3,Loyal,9
USR00428,0,29.0,8,17238.31,4,2,3,Loyal,9
USR00429,1,68.0,6,3160.33,3,2,2,Promising,7
USR00430,0,22.0,12,9593.81,4,3,2,Loyal,9
USR00431,0,32.0,15,15974.2,3,3,3,Loyal,9
USR00432,0,56.0,8,7542.14,3,2,2,Promising,7
USR00433,0,42.0,9,10330.75,3,2,3,Promising,8
USR00434,0,22.0,14,11359.5,4,3,3,Loyal,10
USR00435,0,11.0,13,16895.8,4,3,3,Loyal,10
USR00436,0,17.0,16,19894.35,4,3,3,Loyal,10
USR00437,1,69.0,5,1920.8,3,2,2,Promising,7
USR00438,0,27.0,13,7837.39,4,3,2,Loyal,9
USR00439,0,35.0,8,9188.22,3,2,2,Promising,7
USR00440,0,13.0,16,19885.23,4,3,3,Loyal,10
USR00441,0,32.0,16,16225.35,3,3,3,Loyal,9
USR00442,1,71.0,9,4838.35,3,2,2,Promising,7
USR00443,0,31.0,19,14306.52,3,3,3,Loyal,9
USR00444,0,24.0,17,16284.11,4,3,3,Loyal,10
USR00445,0,44.0,8,5669.51,3,2,2,Promising,7
USR00446,1,73.0,8,3516.24,3,2,2,Promising,7
USR00447,0,19.0,17,17891.0,4,3,3,Loyal,10
USR00448,0,20.0,15,23647.51,4,3,3,Loyal,10
USR00449,1,67.0,5,3401.76,3,2,2,Promising,7
USR00450,0,26.0,14,19126.89,4,3,3,Loyal,10
USR00451,0,38.0,8,11658.6,3,2,3,Promising,8
USR00452,0,32.0,11,19630.16,3,3,3,Loyal,9
